b'DocType: Package',b'To Collect',b'To Collect'
b'apps/package_management/package_management/package_management/doctype/package/package.py',b'To set the state as {0} and event of type {0} must be created first',b'To set the state as {0} and event of type {0} must be created first'
b'DocType: Package Event',b'Transportation Trip',b'Viaje de Transporte'
b'DocType: Transportation Trip Helper',b'Transportation Trip Helper',b'Viaje de Transporte Ayudante'
b'DocType: Transportation Trip Package',b'Transportation Trip Package',b'Viaje de Transporte Paquete'
b'DocType: Transportation Trip Stop',b'Transportation Trip Stop',b'Viaje de Transporte Parada'
b'DocType: Transportation Trip',b'Trip Information',b'Informaci\xc3\xb3n del Viaje'
b'DocType: Package',b'Type',b'Tipo'
b'DocType: Package Event',b'Vehicle',b'Veh\xc3\xadculo'
b'DocType: Transportation Trip',b'Vehicle Make',b''
b'DocType: Transportation Trip',b'Vehicle Model',b'Veh\xc3\xadculo Modelo'
b'DocType: Package',b'Weight',b'Peso'
b'DocType: Package',b'Weight (Vol)',b'Peso (Vol)'
b'DocType: Package',b'Weight (Vol) Unit',b'Peso (Vol) Unidad'
b'DocType: Package',b'Weight Charged',b'Peso Cobrado'
b'DocType: Package',b'Weight Unit',b'Peso Unidad'
b'DocType: Package',b'Weight and Prices',b'Peso and Prices'
b'apps/package_management/package_management/public/js/package_entry.js',b'Without Destination',b'Without Destination'
b'DocType: Transportation Trip',b'completed',b'completado'
b'DocType: Package',b'delivered',b'delivered'
b'DocType: Package',b'envelope',b'Sobre'
b'DocType: Package',b'loaded',b'cargado'
b'DocType: Package',b'origin',b'origen'
b'DocType: Package',b'other',b'otro'
b'DocType: Package',b'package',b'paquete'
b'DocType: Package',b'planned',b'planeado'
b'DocType: Package',b'returned',b'devuelto'
b'DocType: Package',b'returned_carrier',b'devuelto_cliente'
b'DocType: Package',b'transfer',b'transferido'
b'DocType: Package',b'transit',b'transito'
